Tweets
2
5
10
9
9
11
2
4
1
3
3
9
17
11
7
19
3
3
10
7
9
2
5
1
3
3
2
6
3
5
3
1
2
2
3
4
1
2
2
2
3
2
3
1
4
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
