Tweets
2
1
5
7
6
5
11
22
16
5
10
41
82
121
92
92
63
72
66
38
25
16
10
8
8
4
6
12
7
22
15
21
13
5
8
8
4
4
5
2
5
3
1
1
1
1
1
1
1
1
1
2
1
2
3
7
1
1
1
2
2
3
7
5
9
1
1
1
1
1
1
1
1
1
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
